transaction_id,user_id,date,month,category,amount,income
76,17,2023-06-21,2023-06,Bills,4732.06,115392.86
77,6,2023-04-09,2023-04,Health,3041.33,115307.18
78,29,2024-05-11,2024-05,Bills,2987.44,77229.25
79,33,2023-04-26,2023-04,Other,329.73,58509.77
80,23,2023-06-10,2023-06,Education,2243.07,36949.27
81,25,2025-01-04,2025-01,Other,852.0,113001.68
82,46,2025-03-02,2025-03,Shopping,784.97,87114.35
83,23,2024-09-30,2024-09,Entertainment,849.75,107737.31
84,17,2023-04-14,2023-04,Shopping,2151.64,90248.41
85,48,2023-02-08,2023-02,Bills,1821.16,100936.12
86,35,2025-03-28,2025-03,Entertainment,1320.55,111324.06
87,7,2025-04-04,2025-04,Education,3953.42,39427.4
88,8,2024-05-26,2024-05,Education,2682.31,25076.85
89,23,2023-05-23,2023-05,Health,1627.22,29398.19
90,23,2025-05-03,2025-05,Bills,1976.69,35504.16
91,22,2023-11-10,2023-11,Shopping,2609.13,45025.14
92,42,2025-04-17,2025-04,Other,338.1,73708.24
93,37,2023-09-21,2023-09,Travel,473.5,41582.1
94,5,2023-04-13,2023-04,Food,159.74,25168.17
95,30,2023-02-16,2023-02,Travel,434.73,33835.31
96,16,2023-09-26,2023-09,Shopping,2914.7,91459.51
97,19,2024-10-18,2024-10,Shopping,1316.7,63352.07
98,26,2025-01-10,2025-01,Education,1513.84,28087.3
99,9,2024-10-02,2024-10,Travel,145.31,35643.7
100,34,2023-04-06,2023-04,Education,3520.75,91459.59
101,40,2023-08-25,2023-08,Education,2039.64,115486.53
102,39,2024-12-04,2024-12,Other,576.64,81172.07
103,3,2023-03-17,2023-03,Entertainment,914.15,35864.64
104,22,2024-11-27,2024-11,Food,339.32,29179.91
105,47,2023-04-04,2023-04,Travel,520.5,90365.79
106,12,2023-08-06,2023-08,Entertainment,1180.54,100691.3
107,36,2023-10-16,2023-10,Health,1965.76,84977.37
108,10,2025-01-27,2025-01,Travel,399.3,24530.4
109,31,2025-01-31,2025-01,Entertainment,1410.14,70103.99
110,5,2024-05-30,2024-05,Education,3887.18,114389.16
111,2,2024-05-11,2024-05,Shopping,2628.16,83640.36
112,20,2024-10-25,2024-10,Other,693.31,77336.7
113,33,2024-11-21,2024-11,Food,674.45,82593.97
114,1,2024-02-21,2024-02,Entertainment,1029.5,40668.44
115,29,2024-02-01,2024-02,Shopping,800.85,57725.91
116,50,2023-02-04,2023-02,Travel,235.1,85572.26
117,29,2024-08-24,2024-08,Entertainment,609.84,46069.45
118,7,2023-07-15,2023-07,Bills,3618.01,54833.66
119,11,2024-02-17,2024-02,Shopping,309.72,61794.6
120,36,2024-01-29,2024-01,Health,1809.19,76852.03
121,35,2024-11-19,2024-11,Shopping,2248.61,32768.97
122,49,2023-04-06,2023-04,Food,338.56,113075.73
123,37,2025-02-18,2025-02,Health,1830.18,95087.11
124,25,2025-05-16,2025-05,Other,147.97,110255.29
125,20,2025-05-29,2025-05,Food,372.73,49763.52
126,19,2023-06-26,2023-06,Travel,79.42,115854.15
127,19,2023-03-17,2023-03,Health,1548.64,115680.09
128,31,2024-01-19,2024-01,Entertainment,801.4,69302.57
129,16,2025-06-03,2025-06,Bills,912.67,80244.09
130,21,2024-04-28,2024-04,Food,762.34,98129.61
131,39,2023-04-19,2023-04,Bills,4689.18,117424.82
132,14,2023-08-11,2023-08,Travel,80.73,93703.56
133,29,2023-08-23,2023-08,Travel,438.21,116865.19
134,9,2023-03-15,2023-03,Other,845.12,106686.87
135,38,2024-06-02,2024-06,Travel,284.35,42257.64
136,9,2025-03-05,2025-03,Shopping,2177.48,28134.88
137,37,2024-02-26,2024-02,Shopping,2962.59,57427.08
138,1,2023-12-08,2023-12,Other,822.16,114724.86
139,25,2023-10-28,2023-10,Shopping,2309.46,57625.96
140,31,2025-02-25,2025-02,Entertainment,1199.15,75840.42
141,27,2024-12-14,2024-12,Education,5484.95,31119.75
142,3,2023-06-22,2023-06,Bills,551.09,66866.06
143,20,2024-04-20,2024-04,Bills,3952.38,102279.04
144,39,2023-01-01,2023-01,Entertainment,1069.4,43750.65
145,49,2024-02-13,2024-02,Education,5277.3,42359.58
146,6,2023-02-27,2023-02,Health,246.19,116987.88
147,47,2023-05-29,2023-05,Other,91.23,112464.33
148,37,2024-11-06,2024-11,Other,576.16,116930.25
149,18,2023-02-16,2023-02,Travel,396.17,89574.87
150,31,2024-05-27,2024-05,Bills,3324.01,78431.43
151,16,2024-04-15,2024-04,Bills,704.51,48096.32
152,32,2025-02-22,2025-02,Travel,539.65,65565.68
153,28,2024-01-08,2024-01,Health,1254.05,38812.12
154,26,2024-10-09,2024-10,Food,347.35,78365.61
155,28,2025-05-18,2025-05,Bills,4884.78,118621.07
156,17,2023-07-20,2023-07,Bills,1892.87,101379.5
157,28,2025-01-21,2025-01,Food,213.83,111092.72
158,6,2024-08-16,2024-08,Travel,279.15,78116.26
159,25,2024-03-25,2024-03,Food,157.92,107666.15
160,45,2023-01-05,2023-01,Bills,618.65,57646.34
161,1,2023-05-26,2023-05,Travel,593.0,35041.69
162,21,2023-10-09,2023-10,Food,366.62,116991.44
163,27,2024-11-19,2024-11,Health,3385.65,66869.32
164,35,2024-05-25,2024-05,Travel,200.37,25637.55
165,6,2024-04-20,2024-04,Bills,4158.05,119971.77
166,38,2025-02-09,2025-02,Entertainment,899.83,96898.74
167,37,2024-12-14,2024-12,Other,857.17,44734.81
168,14,2024-04-01,2024-04,Bills,1081.22,115405.1
169,13,2025-02-10,2025-02,Shopping,840.2,87170.07
170,32,2023-02-03,2023-02,Other,390.25,31355.76
171,26,2023-09-07,2023-09,Bills,2841.38,97231.84
172,50,2023-09-25,2023-09,Other,825.57,116797.38
173,30,2025-01-03,2025-01,Education,4855.0,78995.59
174,47,2023-07-26,2023-07,Bills,4031.01,83936.14
175,11,2024-03-10,2024-03,Travel,546.73,81726.37
176,34,2025-03-16,2025-03,Travel,384.45,83664.43
177,15,2025-05-08,2025-05,Education,1000.51,92639.7
178,38,2024-04-25,2024-04,Health,3177.88,59654.28
179,42,2024-07-16,2024-07,Education,4337.03,99647.18
180,10,2023-07-03,2023-07,Education,5131.5,96891.77
181,20,2023-03-10,2023-03,Other,981.03,69261.81
182,13,2023-05-06,2023-05,Food,543.38,44014.56
183,47,2025-01-30,2025-01,Travel,303.07,78476.61
184,11,2024-01-09,2024-01,Food,588.37,38006.73
185,4,2024-11-26,2024-11,Education,2764.14,107431.76
186,27,2023-04-03,2023-04,Health,3897.82,80193.54
187,19,2025-02-27,2025-02,Travel,142.91,47859.03
188,22,2024-02-09,2024-02,Bills,2969.22,73442.35
189,12,2023-12-12,2023-12,Bills,4523.98,32874.84
190,26,2025-03-23,2025-03,Bills,1947.12,29229.06
191,47,2023-05-01,2023-05,Other,703.4,71165.7
192,43,2025-04-10,2025-04,Shopping,1256.4,20259.5
193,36,2023-09-14,2023-09,Education,964.84,79727.81
194,15,2023-10-30,2023-10,Shopping,1237.32,68452.3
195,26,2023-01-28,2023-01,Entertainment,648.03,66253.47
196,45,2024-10-27,2024-10,Other,84.85,45243.69
197,7,2023-01-03,2023-01,Bills,4528.43,71167.74
198,47,2024-05-22,2024-05,Travel,108.94,64741.24
199,35,2025-06-01,2025-06,Other,280.35,46924.32
200,37,2023-01-28,2023-01,Travel,61.04,52207.92
201,39,2023-03-27,2023-03,Food,329.25,31976.21
202,17,2024-06-08,2024-06,Food,515.51,87910.23
203,3,2023-08-21,2023-08,Travel,324.14,28692.03
204,47,2024-04-14,2024-04,Bills,3140.79,94543.95
205,49,2025-01-17,2025-01,Shopping,557.22,48377.59
206,6,2024-11-22,2024-11,Education,4052.54,77077.83
207,45,2025-01-10,2025-01,Other,937.01,20753.44
208,21,2024-12-10,2024-12,Other,397.09,68780.98
209,30,2025-04-22,2025-04,Bills,895.49,100586.49
210,24,2025-04-02,2025-04,Education,5132.73,25163.55
211,31,2023-02-09,2023-02,Food,587.87,119725.55
212,6,2023-11-18,2023-11,Shopping,1812.8,111739.56
213,15,2024-10-07,2024-10,Education,5862.87,69074.88
214,38,2024-07-27,2024-07,Food,750.56,75676.29
215,8,2023-01-26,2023-01,Education,2039.89,96949.29
216,6,2024-02-14,2024-02,Entertainment,586.97,62543.64
217,33,2024-06-15,2024-06,Other,280.29,31483.68
218,26,2024-10-15,2024-10,Entertainment,539.65,78123.82
219,11,2024-05-25,2024-05,Education,3146.27,73258.94
220,33,2024-11-20,2024-11,Other,481.55,74860.31
221,10,2023-06-21,2023-06,Shopping,764.85,88457.15
222,20,2023-11-17,2023-11,Bills,1124.71,20271.09
223,9,2024-07-03,2024-07,Entertainment,705.99,54886.83
224,49,2024-08-03,2024-08,Bills,4237.79,116502.69
225,14,2025-06-03,2025-06,Food,611.61,113834.05
226,12,2024-06-30,2024-06,Food,748.51,92159.66
227,29,2025-04-19,2025-04,Health,3346.18,95050.19
228,30,2023-10-18,2023-10,Food,214.99,101457.47
229,14,2024-02-14,2024-02,Food,735.51,51619.66
230,42,2023-03-30,2023-03,Other,698.83,65194.86
231,40,2024-06-09,2024-06,Shopping,2719.07,82410.15
232,33,2023-01-23,2023-01,Food,407.12,77748.63
233,17,2023-08-13,2023-08,Travel,265.32,73185.75
234,40,2023-04-14,2023-04,Shopping,1947.87,31689.8
235,6,2024-08-01,2024-08,Travel,395.24,53490.56
236,15,2024-09-14,2024-09,Travel,391.04,73346.11
237,39,2024-02-24,2024-02,Bills,4989.62,95240.31
238,37,2024-02-15,2024-02,Education,4591.7,23353.24
239,22,2025-04-13,2025-04,Travel,469.35,107676.56
240,33,2023-04-28,2023-04,Bills,4195.66,31063.17
241,36,2025-05-26,2025-05,Food,189.24,59728.73
242,29,2024-10-09,2024-10,Travel,132.45,42925.14
243,12,2024-11-15,2024-11,Education,4460.2,84114.76
244,36,2023-10-19,2023-10,Health,2921.48,79902.94
245,20,2023-01-11,2023-01,Entertainment,1444.75,54252.43
246,6,2024-12-12,2024-12,Bills,2406.19,48792.96
247,43,2024-01-31,2024-01,Health,3665.04,33911.62
248,18,2024-09-14,2024-09,Bills,3767.43,79296.29
249,44,2023-12-22,2023-12,Entertainment,1390.31,99008.46
250,37,2025-04-19,2025-04,Education,4082.52,97124.67
251,31,2024-01-13,2024-01,Shopping,392.98,27732.11
252,14,2023-10-23,2023-10,Entertainment,1284.59,111068.62
253,1,2025-03-24,2025-03,Other,274.11,36552.05
254,36,2023-07-01,2023-07,Health,3382.46,53214.64
255,40,2024-10-22,2024-10,Travel,258.62,94424.97
256,10,2024-03-11,2024-03,Food,651.45,80372.15
257,35,2024-07-28,2024-07,Other,443.78,106351.81
258,38,2024-01-21,2024-01,Travel,306.14,68083.7
259,27,2024-06-12,2024-06,Travel,372.89,23284.67
260,24,2023-01-25,2023-01,Bills,2742.65,61892.54
261,24,2023-06-10,2023-06,Entertainment,639.23,78058.84
262,22,2024-10-27,2024-10,Shopping,236.66,86353.74
263,7,2025-04-28,2025-04,Health,3852.07,34866.27
264,22,2024-04-20,2024-04,Travel,344.29,38446.29
265,7,2025-02-07,2025-02,Bills,1894.72,59731.81
266,19,2023-11-14,2023-11,Health,979.53,39068.77
267,45,2024-04-21,2024-04,Entertainment,787.29,76484.11
268,18,2025-02-07,2025-02,Shopping,2371.48,65328.88
269,2,2024-05-16,2024-05,Other,468.72,60076.31
270,38,2025-04-10,2025-04,Entertainment,289.02,53436.28
271,39,2024-10-04,2024-10,Food,361.32,47074.47
272,46,2023-06-11,2023-06,Entertainment,701.79,22538.64
273,28,2025-03-10,2025-03,Travel,443.78,85892.39
274,1,2023-11-09,2023-11,Shopping,821.52,43107.48
275,8,2023-02-23,2023-02,Entertainment,608.02,76944.35
276,33,2024-08-26,2024-08,Travel,181.0,29944.14
277,32,2023-03-29,2023-03,Travel,447.25,105569.65
278,43,2024-03-27,2024-03,Shopping,2844.35,34108.18
279,14,2025-01-04,2025-01,Entertainment,587.39,28692.5
280,10,2025-02-13,2025-02,Entertainment,1143.47,104812.81
281,48,2024-01-16,2024-01,Bills,4444.0,84292.56
282,18,2024-05-28,2024-05,Health,3660.37,82476.13
283,11,2025-01-15,2025-01,Bills,4212.98,56305.92
284,12,2024-06-15,2024-06,Entertainment,992.6,60941.17
285,30,2023-08-14,2023-08,Other,868.01,41951.05
286,22,2023-12-30,2023-12,Entertainment,339.15,106846.8
287,46,2024-12-27,2024-12,Food,659.9,62521.35
288,17,2024-06-09,2024-06,Travel,457.93,89884.59
289,25,2023-12-25,2023-12,Education,1699.13,84505.42
290,46,2023-01-04,2023-01,Entertainment,328.57,110057.23
291,34,2024-12-27,2024-12,Food,578.23,102258.39
292,21,2023-02-11,2023-02,Food,503.56,47405.52
293,17,2024-11-07,2024-11,Health,2675.4,102974.18
294,23,2024-09-20,2024-09,Shopping,230.79,33688.56
295,31,2024-10-07,2024-10,Entertainment,1138.45,45073.07
296,45,2025-03-31,2025-03,Shopping,691.04,111441.19
297,26,2024-04-20,2024-04,Other,782.37,62203.61
298,2,2025-04-01,2025-04,Education,4559.18,28279.87
299,36,2024-01-06,2024-01,Food,271.74,58929.56
300,40,2023-01-11,2023-01,Travel,245.62,91904.59
301,39,2025-01-13,2025-01,Travel,361.52,67605.04
302,47,2024-10-25,2024-10,Shopping,2823.12,93257.21
303,33,2025-01-31,2025-01,Food,121.83,46226.4
304,35,2023-09-01,2023-09,Health,395.42,69636.62
305,45,2024-04-26,2024-04,Shopping,1945.33,67423.73
306,9,2024-12-13,2024-12,Education,2433.47,61279.36
307,43,2024-09-07,2024-09,Shopping,1417.52,44640.2
308,3,2024-05-12,2024-05,Food,659.59,89469.65
309,30,2023-04-12,2023-04,Entertainment,946.81,56097.39
310,44,2025-03-27,2025-03,Health,719.91,115023.74
311,49,2025-03-25,2025-03,Food,160.69,115817.08
312,19,2025-02-14,2025-02,Health,2628.01,95903.58
313,37,2024-01-09,2024-01,Bills,3367.54,118057.68
314,18,2023-03-30,2023-03,Bills,3409.99,89317.52
315,41,2025-05-26,2025-05,Travel,418.45,24416.54
316,16,2024-12-11,2024-12,Health,3997.54,75580.66
317,22,2023-09-07,2023-09,Education,2220.7,32052.26
318,7,2023-05-17,2023-05,Shopping,739.28,31528.2
319,23,2024-04-21,2024-04,Bills,2633.96,106204.27
320,39,2024-02-06,2024-02,Shopping,1662.82,84454.67
321,14,2023-06-08,2023-06,Shopping,1221.15,76067.72
322,45,2023-04-08,2023-04,Education,5367.49,73026.51
323,26,2023-07-02,2023-07,Food,383.14,77242.78
324,49,2024-05-30,2024-05,Shopping,2414.02,51875.25
325,18,2023-06-10,2023-06,Health,3566.72,81586.32
326,2,2023-11-07,2023-11,Education,3040.69,119034.13
327,13,2023-05-21,2023-05,Bills,2227.84,113258.99
328,39,2025-03-24,2025-03,Entertainment,623.46,96718.83
329,29,2023-11-14,2023-11,Shopping,1543.65,82750.55
330,44,2023-08-27,2023-08,Travel,269.06,29169.93
331,39,2023-12-06,2023-12,Education,4556.7,43877.71
332,3,2024-03-04,2024-03,Food,348.24,48723.9
333,4,2023-05-26,2023-05,Other,271.93,24209.32
334,1,2024-08-07,2024-08,Bills,992.6,59163.01
335,4,2023-05-20,2023-05,Bills,4803.87,99798.93
336,37,2024-01-15,2024-01,Other,446.7,107911.83
337,46,2023-12-10,2023-12,Health,1976.13,81341.14
338,25,2024-12-11,2024-12,Entertainment,1488.08,43167.17
339,20,2025-05-10,2025-05,Bills,3423.41,80773.68
340,45,2024-01-01,2024-01,Bills,1538.01,37652.8
341,26,2025-01-22,2025-01,Food,770.09,102620.57
342,5,2025-02-11,2025-02,Bills,3334.0,41632.4
343,9,2023-04-09,2023-04,Education,3785.01,72503.15
344,42,2024-02-23,2024-02,Health,3081.31,89602.06
345,24,2023-01-03,2023-01,Entertainment,1251.37,42444.06
346,47,2023-03-30,2023-03,Travel,376.12,78008.62
347,34,2023-09-24,2023-09,Entertainment,1334.57,46560.0
348,28,2024-06-24,2024-06,Health,3577.24,115565.15
349,12,2023-06-19,2023-06,Education,4952.34,85524.2
350,5,2024-01-30,2024-01,Health,530.55,60845.32
351,15,2023-02-07,2023-02,Food,281.83,92342.01
352,26,2024-03-29,2024-03,Travel,579.17,30946.89
353,28,2024-08-15,2024-08,Entertainment,233.05,108290.63
354,29,2023-04-25,2023-04,Shopping,2509.11,54780.92
355,34,2023-02-09,2023-02,Entertainment,913.74,46702.83
356,6,2023-08-04,2023-08,Food,658.2,85845.18
357,33,2024-07-24,2024-07,Travel,527.01,90836.3
358,43,2024-07-10,2024-07,Education,4336.09,88014.08
359,27,2024-02-26,2024-02,Health,919.04,108163.71
360,45,2025-04-05,2025-04,Health,1968.79,107907.15
361,42,2024-01-29,2024-01,Education,5009.71,42862.52
362,39,2023-03-23,2023-03,Travel,499.88,103213.42
363,29,2024-06-07,2024-06,Education,535.12,48703.81
364,46,2024-10-28,2024-10,Bills,4915.34,83181.35
365,31,2025-05-15,2025-05,Entertainment,1005.91,73998.54
366,35,2023-11-22,2023-11,Food,298.34,21842.77
367,41,2023-08-12,2023-08,Education,5120.67,59215.12
368,15,2023-08-10,2023-08,Food,627.59,98880.7
369,20,2025-05-13,2025-05,Bills,3968.84,114729.79
370,17,2024-06-07,2024-06,Health,455.93,78217.05
371,1,2023-01-22,2023-01,Education,3915.04,24574.2
372,50,2023-09-27,2023-09,Travel,585.42,116887.79
373,36,2025-02-01,2025-02,Health,694.33,95826.32
374,7,2023-01-29,2023-01,Health,284.07,52361.02
375,15,2024-04-03,2024-04,Travel,425.81,64590.27
376,46,2025-01-07,2025-01,Entertainment,1496.12,62618.13
377,13,2024-05-03,2024-05,Entertainment,370.89,99480.95
378,29,2023-03-16,2023-03,Education,1714.23,28238.1
379,14,2023-03-25,2023-03,Health,2687.14,47325.95
380,17,2024-01-17,2024-01,Education,1330.82,63233.48
381,21,2023-10-30,2023-10,Entertainment,716.63,83852.59
382,6,2024-10-20,2024-10,Shopping,967.8,118397.76
383,1,2024-07-23,2024-07,Bills,4523.45,42995.46
384,35,2025-04-11,2025-04,Education,5274.68,91492.4
385,18,2023-09-28,2023-09,Education,3093.43,74323.28
386,46,2024-10-18,2024-10,Shopping,455.26,35365.8
387,27,2024-11-16,2024-11,Entertainment,865.98,21786.19
388,29,2024-11-23,2024-11,Education,5515.1,116751.13
389,20,2024-07-11,2024-07,Food,423.47,20123.18
390,7,2023-09-30,2023-09,Entertainment,969.86,44754.0
391,9,2024-11-08,2024-11,Entertainment,454.48,36082.55
392,22,2024-05-15,2024-05,Bills,1710.47,99755.91
393,11,2023-03-05,2023-03,Education,3003.71,21162.05
394,18,2023-11-16,2023-11,Health,1703.07,117469.99
395,38,2024-06-27,2024-06,Other,674.13,95705.93
396,38,2024-02-29,2024-02,Other,87.64,68050.69
397,24,2024-07-06,2024-07,Other,279.94,118666.26
398,32,2024-04-07,2024-04,Bills,2745.0,81815.57
399,20,2024-11-03,2024-11,Other,581.67,20977.08
400,33,2023-01-02,2023-01,Shopping,1695.88,108253.35
401,30,2024-08-11,2024-08,Travel,93.22,59692.33
402,2,2023-06-15,2023-06,Entertainment,916.18,88946.5
403,50,2023-05-23,2023-05,Health,960.57,36748.26
404,49,2025-05-21,2025-05,Travel,400.04,90647.57
405,6,2023-01-09,2023-01,Bills,4712.96,25197.13
406,32,2024-07-06,2024-07,Entertainment,1107.23,107096.91
407,50,2025-05-09,2025-05,Bills,4107.78,53945.02
408,7,2024-04-03,2024-04,Bills,4526.67,74759.24
409,22,2024-02-14,2024-02,Shopping,1546.53,24075.41
410,42,2023-01-14,2023-01,Food,157.14,26035.21
411,23,2024-06-07,2024-06,Food,211.68,107178.36
412,19,2024-07-20,2024-07,Bills,2615.82,94427.91
413,29,2024-09-22,2024-09,Other,461.97,24366.17
414,44,2024-08-16,2024-08,Travel,61.47,85326.3
415,37,2023-12-18,2023-12,Other,565.35,69327.68
416,28,2024-12-14,2024-12,Education,2717.94,42056.11
417,15,2023-12-19,2023-12,Bills,4282.04,37419.33
418,21,2023-06-08,2023-06,Education,2787.49,104624.53
419,37,2024-05-30,2024-05,Other,748.58,96772.39
420,24,2024-07-15,2024-07,Education,5268.67,77867.54
421,36,2023-09-07,2023-09,Bills,3763.66,68666.89
422,2,2023-12-01,2023-12,Shopping,2721.97,62172.09
423,42,2025-01-24,2025-01,Food,514.65,111236.33
424,12,2024-10-04,2024-10,Travel,392.63,83156.02
425,15,2025-01-06,2025-01,Education,1223.62,91582.5
426,48,2024-04-22,2024-04,Bills,1308.57,43754.33
427,14,2023-01-02,2023-01,Shopping,706.74,105438.51
428,45,2024-07-06,2024-07,Other,284.87,107074.99
429,47,2023-01-14,2023-01,Food,460.37,55923.34
430,2,2025-01-12,2025-01,Bills,1235.86,59108.15
431,28,2023-03-07,2023-03,Travel,521.89,20903.04
432,1,2024-02-28,2024-02,Other,618.78,59665.98
433,23,2023-10-30,2023-10,Shopping,857.09,108370.97
434,14,2024-08-14,2024-08,Other,543.79,53700.32
435,30,2023-12-27,2023-12,Health,1837.37,44871.43
436,43,2024-05-27,2024-05,Other,289.9,55925.07
437,28,2023-05-01,2023-05,Education,3830.46,55673.21
438,12,2023-06-14,2023-06,Other,792.7,90538.56
439,28,2024-01-02,2024-01,Shopping,2631.16,40584.12
440,20,2025-05-31,2025-05,Other,987.36,32297.08
441,37,2023-01-20,2023-01,Other,99.11,84000.3
442,35,2023-07-17,2023-07,Entertainment,393.01,28855.56
443,33,2024-11-21,2024-11,Bills,687.08,34834.32
444,50,2023-08-04,2023-08,Entertainment,1076.06,21737.98
445,25,2023-11-02,2023-11,Other,974.44,78011.22
446,47,2024-03-02,2024-03,Bills,2699.81,86686.43
447,20,2023-05-31,2023-05,Entertainment,190.46,50792.99
448,16,2025-01-15,2025-01,Other,746.25,36238.19
449,21,2023-05-09,2023-05,Travel,451.96,35616.38
450,38,2024-05-31,2024-05,Entertainment,1450.52,45530.65
451,1,2023-11-07,2023-11,Bills,4903.84,57429.68
452,30,2023-04-24,2023-04,Entertainment,479.6,103087.72
453,47,2025-01-13,2025-01,Health,3120.37,31310.98
454,25,2025-03-24,2025-03,Health,3690.98,80060.95
455,31,2024-10-15,2024-10,Travel,266.63,85123.3
456,26,2023-08-08,2023-08,Shopping,646.0,80495.39
457,9,2023-06-10,2023-06,Shopping,1339.34,107075.35
458,9,2025-01-26,2025-01,Bills,3051.57,93844.92
459,4,2024-09-01,2024-09,Education,2722.77,52703.32
460,38,2023-01-19,2023-01,Shopping,2461.97,96228.51
461,41,2023-10-06,2023-10,Bills,2460.12,101783.42
462,24,2025-04-01,2025-04,Travel,406.99,52838.12
463,1,2023-03-17,2023-03,Education,3854.07,76343.89
464,19,2025-04-07,2025-04,Education,3516.75,79648.55
465,32,2024-05-11,2024-05,Health,1888.79,21466.71
466,11,2025-05-16,2025-05,Other,210.02,84257.6
467,2,2025-02-15,2025-02,Education,2588.82,106333.36
468,48,2024-03-25,2024-03,Food,435.43,22564.21
469,26,2024-10-26,2024-10,Bills,2210.88,59882.28
470,37,2023-10-27,2023-10,Education,3121.83,59436.53
471,23,2023-11-22,2023-11,Education,4607.82,91549.09
472,43,2023-01-21,2023-01,Food,237.04,20756.29
473,47,2023-04-27,2023-04,Education,5439.17,44348.23
474,11,2023-02-20,2023-02,Other,107.25,113443.6
475,22,2025-02-25,2025-02,Food,170.99,68587.18
